"subject","version","assignmentId","role","orderCond","s","c","p","oppType","choice","globalRound","matchNum","matchRound","score","rt","oppChoice","oppScore","stamp","id"
"AMDPJ713Z3IJL","sp_v3_real2","3EICBYG644XYTX5FKYM7WI7TPX8CJR","0","0","4","3","7","0","1","36","2","3","24","617","0","-104","2017-06-21 18:22:12","9685"
"A9YN0N476F6PR","sp_v3_real2","39ASUFLU6X8ELFUIXT73DFFBL7ZXES","0","0","4","1","5","1","0","35","2","4","111","1800","0","-45","2017-06-21 18:22:13","9686"
"A22J1U3RTB7TG4","sp_v3_real2","323Q6SJS8IH953UZN09NSBCH9IWHF2","1","1","2","3","3","2","0","41","2","12","115","1182","1","-1","2017-06-21 18:22:13","9687"
"A36A510EEJ0NOC","sp_v3_real2","3F6HPJW4JD171ZDCU4GG9VSFF242W3","0","0","4","1","8","0","1","32","1","12","74","883","0","-116","2017-06-21 18:22:14","9688"
"A3DS068PGQ5RBN","sp_v3_real2","30BUDKLTXDW5JWA8RNO8LWORS8Q5ER","1","0","2","2","4","1","0","35","1","15","48","177","1","72","2017-06-21 18:22:14","9689"
"AAXYYH9MI3PJM","sp_v3_real2","3SB4CE2TJVWBV2D6HO5HHWPK0S1XAX","0","0","4","4","6","2","0","7","0","7","116","565","0","-16","2017-06-21 18:22:14","9690"
"A3EHI7J2E5DSJK","sp_v3_real2","3WAKVUDHUWH1VWLD5GIANYOQ52F7UP","0","1","4","4","5","1","0","14","1","4","118","375","0","-16","2017-06-21 18:22:15","9691"
"A1NBHHH443OZPE","sp_v3_real2","3VHP9MDGRNLIOVJJ18VMHKF1WQRCFO","0","1","4","3","8","2","0","33","2","0","120","1740","0","0","2017-06-21 18:22:17","9692"
"AMDPJ713Z3IJL","sp_v3_real2","3EICBYG644XYTX5FKYM7WI7TPX8CJR","0","0","4","3","7","0","1","37","2","4","28","781","0","-108","2017-06-21 18:22:19","9693"
"A3DS068PGQ5RBN","sp_v3_real2","30BUDKLTXDW5JWA8RNO8LWORS8Q5ER","1","0","2","2","4","1","0","36","1","16","46","171","1","74","2017-06-21 18:22:19","9694"
"A9YN0N476F6PR","sp_v3_real2","39ASUFLU6X8ELFUIXT73DFFBL7ZXES","0","0","4","1","5","1","0","36","2","5","111","338","0","-45","2017-06-21 18:22:19","9695"
"A36A510EEJ0NOC","sp_v3_real2","3F6HPJW4JD171ZDCU4GG9VSFF242W3","0","0","4","1","8","0","1","33","1","13","78","904","0","-120","2017-06-21 18:22:21","9696"
"AAXYYH9MI3PJM","sp_v3_real2","3SB4CE2TJVWBV2D6HO5HHWPK0S1XAX","0","0","4","4","6","2","0","8","0","8","116","482","0","-16","2017-06-21 18:22:21","9697"
"A2O4RICIH4QZU9","sp_v3_real2","3GGAI1SQEVZOU5B0NVZZCAZATR3CMV","1","0","3","4","5","1","0","20","1","0","57","3534","1","63","2017-06-21 18:22:22","9698"
"A22J1U3RTB7TG4","sp_v3_real2","323Q6SJS8IH953UZN09NSBCH9IWHF2","1","1","2","3","3","2","0","42","2","13","113","1936","1","1","2017-06-21 18:22:22","9699"
"A3GEHH49HNJM57","sp_v3_real2","3NJM2BJS4W7UF88DFBRRTET5YWECPR","1","0","2","1","6","0","0","49","2","9","110","3273","0","-18","2017-06-21 18:22:22","9700"
"A3EHI7J2E5DSJK","sp_v3_real2","3WAKVUDHUWH1VWLD5GIANYOQ52F7UP","0","1","4","4","5","1","0","15","1","5","118","288","0","-16","2017-06-21 18:22:24","9701"
"A3DS068PGQ5RBN","sp_v3_real2","30BUDKLTXDW5JWA8RNO8LWORS8Q5ER","1","0","2","2","4","1","0","37","1","17","44","161","1","76","2017-06-21 18:22:25","9702"
"A1NBHHH443OZPE","sp_v3_real2","3VHP9MDGRNLIOVJJ18VMHKF1WQRCFO","0","1","4","3","8","2","0","34","2","1","120","643","0","0","2017-06-21 18:22:26","9703"
"AMDPJ713Z3IJL","sp_v3_real2","3EICBYG644XYTX5FKYM7WI7TPX8CJR","0","0","4","3","7","0","1","38","2","5","32","1120","0","-112","2017-06-21 18:22:26","9704"
"AAXYYH9MI3PJM","sp_v3_real2","3SB4CE2TJVWBV2D6HO5HHWPK0S1XAX","0","0","4","4","6","2","0","9","0","9","116","322","0","-16","2017-06-21 18:22:28","9705"
"A36A510EEJ0NOC","sp_v3_real2","3F6HPJW4JD171ZDCU4GG9VSFF242W3","0","0","4","1","8","0","1","34","1","14","82","878","0","-124","2017-06-21 18:22:29","9706"
"A9YN0N476F6PR","sp_v3_real2","39ASUFLU6X8ELFUIXT73DFFBL7ZXES","0","0","4","1","5","1","0","37","2","6","111","2352","0","-45","2017-06-21 18:22:29","9707"
"A22J1U3RTB7TG4","sp_v3_real2","323Q6SJS8IH953UZN09NSBCH9IWHF2","1","1","2","3","3","2","0","43","2","14","111","1290","1","3","2017-06-21 18:22:30","9708"
"A3DS068PGQ5RBN","sp_v3_real2","30BUDKLTXDW5JWA8RNO8LWORS8Q5ER","1","0","2","2","4","1","0","38","1","18","42","171","1","78","2017-06-21 18:22:31","9709"
"A2O4RICIH4QZU9","sp_v3_real2","3GGAI1SQEVZOU5B0NVZZCAZATR3CMV","1","0","3","4","5","1","0","21","1","1","54","987","1","66","2017-06-21 18:22:32","9710"
"A3EHI7J2E5DSJK","sp_v3_real2","3WAKVUDHUWH1VWLD5GIANYOQ52F7UP","0","1","4","4","5","1","0","16","1","6","118","820","0","-16","2017-06-21 18:22:33","9711"
"A1NBHHH443OZPE","sp_v3_real2","3VHP9MDGRNLIOVJJ18VMHKF1WQRCFO","0","1","4","3","8","2","0","35","2","2","120","636","0","0","2017-06-21 18:22:34","9712"
"AMDPJ713Z3IJL","sp_v3_real2","3EICBYG644XYTX5FKYM7WI7TPX8CJR","0","0","4","3","7","0","1","39","2","6","36","534","0","-116","2017-06-21 18:22:34","9713"
"AAXYYH9MI3PJM","sp_v3_real2","3SB4CE2TJVWBV2D6HO5HHWPK0S1XAX","0","0","4","4","6","2","0","10","0","10","116","377","0","-16","2017-06-21 18:22:35","9714"
"A36A510EEJ0NOC","sp_v3_real2","3F6HPJW4JD171ZDCU4GG9VSFF242W3","0","0","4","1","8","0","1","35","1","15","86","950","0","-128","2017-06-21 18:22:36","9715"
"A22J1U3RTB7TG4","sp_v3_real2","323Q6SJS8IH953UZN09NSBCH9IWHF2","1","1","2","3","3","2","0","44","2","15","109","573","1","5","2017-06-21 18:22:37","9716"
"A9YN0N476F6PR","sp_v3_real2","39ASUFLU6X8ELFUIXT73DFFBL7ZXES","0","0","4","1","5","1","0","38","2","7","111","624","0","-45","2017-06-21 18:22:37","9717"
