"subject","version","assignmentId","role","orderCond","s","c","p","oppType","choice","globalRound","matchNum","matchRound","score","rt","oppChoice","oppScore","stamp","id"
"ANTH5IGN5CHN6","sp_v3_pilot2","3M0BCWMB8VX1PCD8DX9RAOVJ984WBM","0","0","3","2","7","2","1","4","0","4","180","466","1","-25","2017-06-21 15:53:03","5486"
"A1EKUJGMFDI1RZ","sp_v3_pilot2","3Q8GYXHFEP3QMYQUVWIDV8OO7W0C5S","1","1","2","4","6","2","0","42","2","14","158","229","1","12","2017-06-21 15:53:04","5487"
"AE608VRXK6M2E","sp_v3_pilot2","3QJOXOW4XJS3R3VEJM5U2YZDE33EMD","0","0","1","3","5","2","0","7","0","7","200","726","0","0","2017-06-21 15:53:06","5488"
"A3RO90I4O8I0O2","sp_v3_pilot2","338JKRMM260E9CDRCKNVEA1QC26HAC","1","1","2","2","6","2","0","50","2","12","206","118","1","-30","2017-06-21 15:53:08","5489"
"ANTH5IGN5CHN6","sp_v3_pilot2","3M0BCWMB8VX1PCD8DX9RAOVJ984WBM","0","0","3","2","7","2","1","5","0","5","176","504","1","-30","2017-06-21 15:53:10","5490"
"A2CNXQG6YYHTDF","sp_v3_pilot2","39O5D9O87TTN8J3QHDUKGBQ4T09C32","0","0","1","4","3","1","0","38","2","7","200","620","0","0","2017-06-21 15:53:10","5491"
"A1EKUJGMFDI1RZ","sp_v3_pilot2","3Q8GYXHFEP3QMYQUVWIDV8OO7W0C5S","1","1","2","4","6","2","0","43","2","15","156","207","1","14","2017-06-21 15:53:10","5492"
"AE608VRXK6M2E","sp_v3_pilot2","3QJOXOW4XJS3R3VEJM5U2YZDE33EMD","0","0","1","3","5","2","0","8","0","8","200","984","0","0","2017-06-21 15:53:13","5493"
"A3RO90I4O8I0O2","sp_v3_pilot2","338JKRMM260E9CDRCKNVEA1QC26HAC","1","1","2","2","6","2","0","51","2","13","204","464","1","-28","2017-06-21 15:53:14","5494"
"A1EKUJGMFDI1RZ","sp_v3_pilot2","3Q8GYXHFEP3QMYQUVWIDV8OO7W0C5S","1","1","2","4","6","2","0","44","2","16","154","225","1","16","2017-06-21 15:53:16","5495"
"A2CNXQG6YYHTDF","sp_v3_pilot2","39O5D9O87TTN8J3QHDUKGBQ4T09C32","0","0","1","4","3","1","0","39","2","8","200","633","0","0","2017-06-21 15:53:17","5496"
