"subject","version","assignmentId","role","stealCond","punCond","oppType","choice","globalRound","matchNum","matchRound","score","rt","oppChoice","oppScore","stamp","id"
"A20HZD952T4B2O","sp_v2_s","3YHH42UU5BGKUVYZB350HWIKIHZL0U","1","0","-1","1","0","8","1","0","96","3078","1","-1","2017-05-30 00:26:23","13172"
"A2MUCL20GTQJA0","sp_v2_s","3VBEN272MK049C4A9ER4EAJVHSWSGI","0","1","-1","2","0","19","2","6","83","294","0","-13","2017-05-30 00:26:28","13178"
"A2MUCL20GTQJA0","sp_v2_s","3VBEN272MK049C4A9ER4EAJVHSWSGI","0","1","-1","2","0","20","2","7","83","367","0","-13","2017-05-30 00:26:35","13182"
"A20HZD952T4B2O","sp_v2_s","3YHH42UU5BGKUVYZB350HWIKIHZL0U","1","0","-1","1","0","9","1","1","95","4764","1","0","2017-05-30 00:26:37","13183"
"A2MUCL20GTQJA0","sp_v2_s","3VBEN272MK049C4A9ER4EAJVHSWSGI","0","1","-1","2","0","21","2","8","83","943","0","-13","2017-05-30 00:26:42","13188"
"A1MN2PWAV10VAB","sp_v2_s","3OS4RQUCR9GZEQRDN8ZR609JCPAFB5","0","0","-1","1","0","12","1","0","88","2029","0","12","2017-05-30 00:26:44","13189"
"A20HZD952T4B2O","sp_v2_s","3YHH42UU5BGKUVYZB350HWIKIHZL0U","1","0","-1","1","0","10","1","2","94","3906","1","1","2017-05-30 00:26:48","13191"
"A2MUCL20GTQJA0","sp_v2_s","3VBEN272MK049C4A9ER4EAJVHSWSGI","0","1","-1","2","0","22","2","9","83","456","0","-13","2017-05-30 00:26:49","13193"
"A1MN2PWAV10VAB","sp_v2_s","3OS4RQUCR9GZEQRDN8ZR609JCPAFB5","0","0","-1","1","0","13","1","1","88","413","0","12","2017-05-30 00:26:50","13196"
"A21H2UDDHN8ZF","sp_v2_s","3ZY8KE4ISJ4BETFS651LJB74MJZVQL","1","1","-1","1","1","0","0","0","97","4785","1","-2","2017-05-30 00:26:54","13199"
"A1MN2PWAV10VAB","sp_v2_s","3OS4RQUCR9GZEQRDN8ZR609JCPAFB5","0","0","-1","1","0","14","1","2","88","494","0","12","2017-05-30 00:26:57","13201"
"A20HZD952T4B2O","sp_v2_s","3YHH42UU5BGKUVYZB350HWIKIHZL0U","1","0","-1","1","1","11","1","3","92","2803","1","-2","2017-05-30 00:26:59","13203"
"A1MN2PWAV10VAB","sp_v2_s","3OS4RQUCR9GZEQRDN8ZR609JCPAFB5","0","0","-1","1","0","15","1","3","88","405","0","12","2017-05-30 00:27:04","13208"
"A20HZD952T4B2O","sp_v2_s","3YHH42UU5BGKUVYZB350HWIKIHZL0U","1","0","-1","1","0","12","1","4","92","1895","0","-2","2017-05-30 00:27:07","13211"
"A1MN2PWAV10VAB","sp_v2_s","3OS4RQUCR9GZEQRDN8ZR609JCPAFB5","0","0","-1","1","0","16","1","4","88","309","0","12","2017-05-30 00:27:10","13213"
"A21H2UDDHN8ZF","sp_v2_s","3ZY8KE4ISJ4BETFS651LJB74MJZVQL","1","1","-1","1","0","1","0","1","97","4884","0","-2","2017-05-30 00:27:10","13214"
"A20HZD952T4B2O","sp_v2_s","3YHH42UU5BGKUVYZB350HWIKIHZL0U","1","0","-1","1","0","13","1","5","92","1748","0","-2","2017-05-30 00:27:15","13219"
