"subject","version","assignmentId","role","stealCond","punCond","oppPersistent","choice","globalRound","matchNum","matchRound","score","rt","oppChoice","oppScore","stamp","id"
"A33AZCOKCCTUXV","sp_v2","3DYGAII7PL9Y99IWKTSMDJIM0UGQPB","1","0","1","1","1","3","0","3","88","687","1","-12","2017-05-29 18:44:54","1564"
"A4IH4CO046EV3","sp_v2","3M81GAB8A0KW5FHM1OALIZDXJQ1BQB","0","1","0","1","0","8","0","8","96","837","0","-6","2017-05-29 18:44:54","1565"
"A33NK36A94Y75Y","sp_v2","338JKRMM260E9CDRCKNVEA1QALKHAQ","0","0","0","1","1","10","0","10","88","55","1","-8","2017-05-29 18:44:55","1566"
"A2TVJTQ4VXATE6","sp_v2","3WMOAN2SRBYQBW20QD94FHCZH7UNV6","1","0","0","1","1","1","0","1","97","2453","1","-2","2017-05-29 18:44:55","1567"
"ALYR5CI2SM2JC","sp_v2","3TVSS0C0E111LY7PDJ0CAI15DYIWTQ","0","0","1","1","0","2","0","2","100","1825","0","0","2017-05-29 18:44:56","1568"
"A3BGIK3STL9345","sp_v2","31JLPPHS2UVOH80T7I3BBBKLGX6O3P","1","0","0","1","0","2","0","2","96","1011","1","-1","2017-05-29 18:44:56","1569"
"A1P0XSCJ9XAV74","sp_v2","3JC6VJ2SABK2TJTWBIMMPDY05CUA53","1","1","0","1","0","0","0","0","98","5997","1","2","2017-05-29 18:44:56","1570"
"A3TJ3ORKWH4IYW","sp_v2","3IXEICO792K3RJSJM1N8CO2SPWPT6M","1","0","1","1","1","2","0","2","95","3594","1","-1","2017-05-29 18:44:56","1571"
"A21UA6O7ZFAIQJ","sp_v2","3MD9PLUKKIF7KG7ARAY70NPV5I0NZ6","1","0","1","1","1","7","0","7","76","661","1","-24","2017-05-29 18:44:56","1572"
"A39Q4SNT7SRK94","sp_v2","32KTQ2V7RDGMW74XBBP8AKY2LP1M9P","0","0","1","1","0","10","0","10","100","353","0","0","2017-05-29 18:44:57","1573"
"A2541C8MY0BYV3","sp_v2","3IGI0VL647LVLCT3P1NQKPIRLEXNO4","0","0","0","1","1","8","0","8","73","271","1","-18","2017-05-29 18:44:57","1574"
"A1X5IZPCRLL0Z7","sp_v2","3QFUFYSY9YGFTR648TP4YM3D2WC4F5","0","1","1","1","0","8","0","8","100","668","0","0","2017-05-29 18:44:57","1575"
"A67BK7ZFFRV8G","sp_v2","3QXNC7EIPIWPTTXQM62ACNRPIM109T","1","0","1","1","0","0","0","0","99","8221","1","1","2017-05-29 18:44:58","1576"
"A5BEH1IONAYMB","sp_v2","3L4D84MILZTPA5GV6Q08794908EHJ6","1","0","0","1","0","5","0","5","91","678","1","-6","2017-05-29 18:44:58","1577"
"A3RHGIM99R25Q9","sp_v2","3NQL1CS15R9KNV6EXFIFWXA6LRYYV7","1","0","0","1","0","5","0","5","94","209","1","6","2017-05-29 18:44:58","1578"
